record number,reference number,literature type,reference,one sentence summary,score,country,region1,region2,site,habitat,habitat1,habitat2,habitat3,habitat4,lon (decimal degrees),lat (decimal degrees),start year,end year,number of sites / study plots,site description,site detail,number of subsites,subsite detail,type of study,species,assemblage,agri-environment,basic agri-environment,targeted agri-environment (wader-specific or higher level),site protection - nature reserve,site protection - designation,mowing,grazing,fertilizer,herbicides / pesticides,nest protection - agricultural activities,nest protection - predation (enclosures or exclosures),ground water management (drainage inhibited),wet features / surface water management,openness of landscape,predator control,other mgmt,other management type (provide description),management notes,overall metric,standardized metric,standardisation calculation,specific metric,specific metric details,reference metric before management,metric after management,log(effect size),effect size (where reported),stand. reference metric before management,stand. metric after management,stand. effect size,unit of analysis,unit of analysis detail,sample size,analysis type 1,analysis type 2,analysis type details,significant effect (Y/N /U),direction of effect (positive / negative / none),values obtained from plot?,values in plots not extracted,related records,comments
11,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,lapwing,Y,,,,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
12,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,applied site scale,applied site scale,,,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.0004,0.0007,0.000599341,0.75,0.0004,0.0007,0.75,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
13,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,applied site scale,,applied site scale,,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.0004,0.0016,0.002395211,3.00,0.0004,0.0016,3.00,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
14,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,,,,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.0003,0.0018,0.002993715,5.00,0.0003,0.0018,5.00,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
15,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,,,,,applied site scale,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.0003,0.0021,0.003591385,6.00,0.0003,0.0021,6.00,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
16,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,applied site scale,applied site scale,,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.0002,0.0021,0.003791285,9.50,0.0002,0.0021,9.50,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
17,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,applied site scale,,applied site scale,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.0002,0.0042,0.007964996,20.00,0.0002,0.0042,20.00,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
18,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,applied site scale,applied site scale,,,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
19,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,applied site scale,,applied site scale,,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
20,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,applied site scale,applied site scale,,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
21,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,applied site scale,,applied site scale,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
22,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,snipe,Y,,,,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
23,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,applied site scale,applied site scale,,,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.026,0.024,-0.003809528,-0.08,0.026,0.024,-0.08,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,negative,,,,
24,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,applied site scale,,applied site scale,,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.026,0.053,0.050056789,1.04,0.026,0.053,1.04,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
25,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,,,,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.01,0.098,0.159180028,8.80,0.01,0.098,8.80,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
26,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,,,,,applied site scale,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.017,0.059,0.078106599,2.47,0.017,0.059,2.47,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
27,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,applied site scale,applied site scale,,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.011,0.081,0.128381167,6.36,0.011,0.081,6.36,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
28,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,applied site scale,,applied site scale,applied site scale,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.011,0.212,0.331708321,18.27,0.011,0.212,18.27,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
29,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,applied site scale,applied site scale,,,applied site scale,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.012,0.064,0.096729626,4.33,0.012,0.064,4.33,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
30,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,applied site scale,,applied site scale,,applied site scale,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.012,0.067,0.102034679,4.58,0.012,0.067,4.58,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
31,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,applied site scale,applied site scale,,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
32,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,applied site scale,,applied site scale,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,,,presence/absence,presence/absence in fields in 2009-2010,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,N,,,,,
33,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,redshank,Y,,,,applied site scale,applied site scale,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.004,0.135,0.231048731,32.75,0.004,0.135,32.75,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,positive,,,,
34,1,primary,"Smart, J., Wotton, S.R., Dillon, I.A., Cooke, A.I., Diack, I., Drewitt, A.L., Grice, P.V. & Gregory, R.D. (2014) Synergies between site protection and agri-environment schemes for the conservation of waders on lowland wet grasslands. Ibis, 156, 576–590.",evaluated effect of both AES and site protection on abundance and occupancy; AES (specifically wader-targeted AES) had most positive effect when combined with site protection,good,United Kingdom,England,,,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2002,2010,277,,,10498,fields,correlative,curlew,Y,applied site scale,applied site scale,,,,,,,,,,,,,,,,,occupancy,occurrence/occupancy probability,,presence/absence,presence/absence in fields in 2009-2010,0.003,0.002,-0.00199005,-0.33,0.003,0.002,-0.33,field/plot/site,,large (100-1000),frequentist,multivariate,stepwise regression GLMM,Y,negative,,,,
