"reference","country","study.length","habitat","species","overall.metric","sample.size","analysis2","success","AE.level","reserve.desig","mowing","grazing","fertpest","nest.protect","predator.control","water"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"higher","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",1,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",1,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",1,"higher","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",1,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",1,"higher","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",1,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",0,"higher","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance","large","multivariate",0,"none","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy change","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy change","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy change","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy change","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","occupancy change","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","occupancy change","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","occupancy change","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","occupancy change","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance change","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance change","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","abundance change","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance change","large","multivariate",0,"basic","none","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","lapwing","abundance change","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","snipe","abundance change","large","multivariate",1,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","curlew","abundance change","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
1,"United Kingdom",9,"pastoral","redshank","abundance change","large","multivariate",0,"basic","applied","none","none","none","none","none","none"
2,"Netherlands",1,"pastoral","lapwing","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","black-tailed godwit","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","redshank","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","oystercatcher","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","snipe","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","curlew","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","lapwing","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","black-tailed godwit","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","redshank","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","oystercatcher","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","snipe","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
2,"Netherlands",1,"pastoral","curlew","abundance","small","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
3,"Sweden",11,"mixed arable/pastoral","lapwing","abundance","medium","multivariate",1,"none","none","none","none","none","none","none","applied"
4,"United Kingdom",23,"unenclosed","lapwing","abundance change","medium","multivariate",0,"none","none","none","none","none","none","applied","none"
4,"United Kingdom",23,"unenclosed","curlew","abundance change","medium","multivariate",0,"none","none","none","none","none","none","applied","none"
4,"United Kingdom",23,"unenclosed","snipe","abundance change","medium","multivariate",0,"none","none","none","none","none","none","applied","none"
4,"United Kingdom",23,"unenclosed","lapwing","abundance change","medium","univariate",0,"none","none","none","none","none","none","applied","none"
4,"United Kingdom",23,"unenclosed","curlew","abundance change","medium","univariate",0,"none","none","none","none","none","none","applied","none"
4,"United Kingdom",23,"unenclosed","snipe","abundance change","medium","univariate",0,"none","none","none","none","none","none","applied","none"
6,"United Kingdom",2,"pastoral","lapwing","abundance","medium","multivariate",0,"none","none","none","applied","none","none","none","none"
6,"United Kingdom",2,"pastoral","curlew","abundance","medium","multivariate",0,"none","none","none","applied","none","none","none","none"
6,"United Kingdom",2,"pastoral","lapwing","abundance","medium","multivariate",0,"none","none","none","applied","none","none","none","none"
6,"United Kingdom",2,"pastoral","curlew","abundance","medium","multivariate",0,"none","none","none","applied","none","none","none","none"
7,"United Kingdom",18,"pastoral","lapwing","abundance","small","univariate",1,"none","applied","none","none","none","none","none","none"
7,"United Kingdom",18,"pastoral","redshank","abundance","small","univariate",1,"none","applied","none","none","none","none","none","none"
7,"United Kingdom",18,"pastoral","snipe","abundance","small","univariate",0,"none","applied","none","none","none","none","none","none"
7,"United Kingdom",18,"pastoral","lapwing","abundance","small","multivariate",0,"none","applied","reduced","reduced","none","none","none","applied"
7,"United Kingdom",18,"pastoral","redshank","abundance","small","multivariate",0,"none","applied","reduced","reduced","none","none","none","applied"
7,"United Kingdom",18,"pastoral","snipe","abundance","small","multivariate",0,"none","applied","reduced","reduced","none","none","none","applied"
8,"United Kingdom",3,"pastoral","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","applied","none","none","none","none"
8,"United Kingdom",3,"pastoral","lapwing","productivity (nest + chick)","large","univariate",0,"none","none","none","applied","none","none","none","none"
9,"United Kingdom",3,"mixed arable/pastoral","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","applied","none","none","none","none"
11,"Hungary",1,"pastoral","redshank","abundance","medium","multivariate",0,"none","none","none","applied","none","none","none","none"
12,"Germany",6,"mixed arable/pastoral","lapwing","productivity (nest + chick)","medium","univariate",1,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest + chick)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest + chick)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest level)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest + chick)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest level)","medium","univariate",1,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest + chick)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest level)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest + chick)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest level)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest + chick)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest level)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest + chick)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
12,"Germany",3,"mixed arable/pastoral","lapwing","productivity (nest level)","medium","univariate",0,"none","none","none","none","none","none","none","applied"
13,"United Kingdom",2,"unenclosed","lapwing","productivity (nest level)","small","multivariate",0,"none","none","none","none","none","none","applied","none"
13,"United Kingdom",2,"unenclosed","lapwing","productivity (chick level)","small","multivariate",0,"none","none","none","none","none","none","applied","none"
14,"United Kingdom",8,"pastoral","lapwing","abundance change","small","multivariate",0,"none","none","none","none","none","none","applied","none"
14,"United Kingdom",8,"pastoral","lapwing","productivity (nest level)","large","multivariate",0,"none","none","none","none","none","none","applied","none"
14,"United Kingdom",8,"pastoral","lapwing","productivity (nest level)","large","multivariate",1,"none","none","none","none","none","none","applied","none"
14,"United Kingdom",8,"pastoral","lapwing","productivity (chick level)","large","multivariate",0,"none","none","none","none","none","none","applied","none"
14,"United Kingdom",8,"pastoral","lapwing","productivity (nest + chick)","large","multivariate",1,"none","none","none","none","none","none","applied","none"
15,"United Kingdom",2,"mixed arable/pastoral","lapwing","abundance change","small","multivariate",1,"basic","none","none","none","none","none","none","none"
16,"Netherlands",13,"pastoral","oystercatcher","abundance change","large","multivariate",0,"basic","none","reduced","none","reduced","none","none","none"
16,"Netherlands",13,"pastoral","black-tailed godwit","abundance change","large","multivariate",0,"basic","none","reduced","none","reduced","none","none","none"
16,"Netherlands",13,"pastoral","lapwing","abundance change","large","multivariate",0,"basic","none","reduced","none","reduced","none","none","none"
16,"Netherlands",13,"pastoral","redshank","abundance change","large","multivariate",0,"basic","none","reduced","none","reduced","none","none","none"
17,"United Kingdom",4,"arable","lapwing","abundance change","medium","multivariate",1,"higher","none","none","none","none","none","none","none"
17,"United Kingdom",4,"arable","lapwing","abundance change","medium","univariate",0,"none","none","none","none","none","none","none","none"
17,"United Kingdom",4,"arable","lapwing","abundance","medium","univariate",1,"none","none","none","none","none","none","none","none"
18,"France",32,"pastoral","curlew","abundance","small","univariate",0,"basic","none","reduced","none","none","none","none","none"
19,"United Kingdom",10,"unenclosed","curlew","abundance","large","multivariate",0,"none","none","none","reduced","none","none","applied","applied"
19,"United Kingdom",10,"unenclosed","snipe","abundance","large","multivariate",0,"none","none","none","reduced","none","none","applied","applied"
20,"United Kingdom",1,"arable","lapwing","occupancy","large","univariate",0,"higher","none","none","none","reduced","none","none","none"
21,"United Kingdom",4,"arable","lapwing","abundance","large","multivariate",0,"basic","none","none","none","none","none","none","none"
21,"United Kingdom",4,"pastoral","lapwing","abundance","large","multivariate",0,"basic","none","none","none","none","none","none","none"
21,"United Kingdom",4,"mixed arable/pastoral","lapwing","abundance","large","multivariate",0,"basic","none","none","none","none","none","none","none"
22,"United Kingdom",12,"unenclosed","curlew","abundance change","medium","multivariate",1,"none","none","none","none","none","none","applied","none"
22,"United Kingdom",12,"unenclosed","curlew","productivity (nest level)","medium","multivariate",1,"none","none","none","none","none","none","applied","none"
23,"France",1,"pastoral","lapwing","occupancy","medium","multivariate",1,"none","none","none","applied","none","none","none","none"
23,"France",1,"pastoral","redshank","occupancy","medium","multivariate",1,"none","none","none","applied","none","none","none","none"
24,"United Kingdom",2,"pastoral","lapwing","occupancy","medium","multivariate",1,"none","none","none","none","none","none","none","applied"
24,"United Kingdom",2,"pastoral","lapwing","occupancy","medium","multivariate",0,"none","none","none","none","none","none","none","applied"
24,"United Kingdom",2,"pastoral","lapwing","occupancy","medium","multivariate",0,"none","none","none","none","none","none","none","applied"
24,"United Kingdom",2,"pastoral","lapwing","abundance","medium","multivariate",1,"none","none","none","none","none","none","none","applied"
24,"United Kingdom",2,"pastoral","lapwing","abundance","medium","multivariate",0,"none","none","none","none","none","none","none","applied"
24,"United Kingdom",2,"pastoral","lapwing","abundance","medium","multivariate",0,"none","none","none","none","none","none","none","applied"
24,"United Kingdom",2,"pastoral","lapwing","productivity (chick level)","medium","multivariate",0,"none","none","none","none","none","none","none","applied"
24,"United Kingdom",2,"pastoral","lapwing","productivity (chick level)","medium","multivariate",1,"none","none","none","none","none","none","none","applied"
24,"United Kingdom",2,"pastoral","lapwing","productivity (chick level)","medium","multivariate",0,"none","none","none","none","none","none","none","applied"
25,"United Kingdom",9,"pastoral","lapwing","productivity (nest + chick)","small","multivariate",1,"none","none","none","none","none","none","applied","none"
25,"United Kingdom",9,"unenclosed","curlew","productivity (nest + chick)","small","multivariate",1,"none","none","none","none","none","none","applied","none"
25,"United Kingdom",9,"unenclosed","lapwing","abundance change","small","multivariate",1,"none","none","none","none","none","none","applied","none"
25,"United Kingdom",9,"unenclosed","curlew","abundance change","small","multivariate",1,"none","none","none","none","none","none","applied","none"
25,"United Kingdom",9,"unenclosed","snipe","abundance change","small","multivariate",0,"none","none","none","none","none","none","applied","none"
26,"Netherlands",1,"mixed arable/pastoral","black-tailed godwit","abundance","medium","univariate",1,"none","none","none","none","none","none","none","applied"
27,"United Kingdom",3,"pastoral","lapwing","productivity (nest level)","small","univariate",0,"none","none","none","reduced","none","none","none","none"
27,"United Kingdom",3,"pastoral","lapwing","productivity (chick level)","small","univariate",0,"none","none","none","reduced","none","none","none","none"
27,"United Kingdom",3,"pastoral","lapwing","abundance","medium","multivariate",1,"none","none","none","reduced","none","none","none","none"
28,"United Kingdom",5,"arable","lapwing","abundance","small","multivariate",1,"none","none","none","none","reduced","none","none","none"
29,"Sweden",3,"pastoral","lapwing","productivity (nest level)","large","univariate",1,"none","none","none","none","none","applied","none","none"
29,"Sweden",3,"pastoral","redshank","productivity (nest level)","medium","univariate",1,"none","none","none","none","none","applied","none","none"
29,"Sweden",3,"pastoral","lapwing","survival","large","univariate",0,"none","none","none","none","none","applied","none","none"
29,"Sweden",3,"pastoral","redshank","survival","medium","univariate",0,"none","none","none","none","none","applied","none","none"
29,"Sweden",3,"pastoral","lapwing","productivity (nest level)","large","",1,"none","none","none","none","none","applied","none","none"
29,"Sweden",3,"pastoral","redshank","productivity (nest level)","medium","",1,"none","none","none","none","none","applied","none","none"
29,"Sweden",3,"pastoral","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","none","none","applied","none","none"
29,"Sweden",3,"pastoral","redshank","productivity (nest level)","medium","univariate",0,"none","none","none","none","none","applied","none","none"
30,"United Kingdom",3,"pastoral","lapwing","productivity (nest level)","small","multivariate",0,"none","none","none","none","none","applied","applied","none"
30,"United Kingdom",3,"pastoral","redshank","productivity (nest level)","small","multivariate",0,"none","none","none","none","none","applied","applied","none"
30,"United Kingdom",3,"pastoral","snipe","productivity (nest level)","small","multivariate",0,"none","none","none","none","none","applied","applied","none"
31,"Denmark",5,"pastoral","lapwing","abundance","large","univariate",1,"basic","none","none","none","none","none","none","applied"
31,"Denmark",5,"pastoral","black-tailed godwit","abundance","large","univariate",1,"basic","none","none","none","none","none","none","applied"
31,"Denmark",5,"pastoral","redshank","abundance","large","univariate",1,"basic","none","none","none","none","none","none","applied"
31,"Denmark",5,"pastoral","oystercatcher","abundance","large","univariate",0,"basic","none","none","none","none","none","none","applied"
31,"Denmark",5,"pastoral","lapwing","abundance","large","univariate",0,"basic","none","none","none","none","none","none","applied"
31,"Denmark",5,"pastoral","black-tailed godwit","abundance","large","univariate",0,"basic","none","none","none","none","none","none","applied"
31,"Denmark",5,"pastoral","redshank","abundance","large","univariate",0,"basic","none","none","none","none","none","none","applied"
31,"Denmark",5,"pastoral","oystercatcher","abundance","large","univariate",0,"basic","none","none","none","none","none","none","applied"
32,"Netherlands",6,"pastoral","black-tailed godwit","productivity (nest level)","large","multivariate",1,"higher","none","reduced","none","reduced","none","none","applied"
32,"Netherlands",6,"pastoral","black-tailed godwit","productivity (nest level)","large","multivariate",1,"higher","none","reduced","none","reduced","none","none","applied"
32,"Netherlands",6,"pastoral","black-tailed godwit","productivity (nest level)","large","multivariate",0,"none","none","reduced","none","none","applied","none","none"
32,"Netherlands",6,"pastoral","black-tailed godwit","productivity (nest level)","large","multivariate",0,"none","none","reduced","none","none","applied","none","none"
33,"Netherlands",8,"pastoral","black-tailed godwit","productivity (chick level)","large","multivariate",1,"higher","none","reduced","none","reduced","none","none","applied"
34,"Netherlands",7,"pastoral","lapwing","abundance","medium","multivariate",1,"higher","none","reduced","none","reduced","none","none","applied"
34,"Netherlands",7,"pastoral","oystercatcher","abundance","medium","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
34,"Netherlands",7,"pastoral","black-tailed godwit","abundance","medium","multivariate",1,"higher","none","reduced","none","reduced","none","none","applied"
34,"Netherlands",7,"pastoral","redshank","abundance","medium","multivariate",0,"higher","none","reduced","none","reduced","none","none","applied"
34,"Netherlands",7,"pastoral","lapwing","abundance change","medium","univariate",0,"higher","none","reduced","none","reduced","none","none","applied"
34,"Netherlands",7,"pastoral","oystercatcher","abundance change","medium","univariate",0,"higher","none","reduced","none","reduced","none","none","applied"
34,"Netherlands",7,"pastoral","black-tailed godwit","abundance change","medium","univariate",0,"higher","none","reduced","none","reduced","none","none","applied"
34,"Netherlands",7,"pastoral","redshank","abundance change","medium","univariate",0,"higher","none","reduced","none","reduced","none","none","applied"
35,"Netherlands",2,"arable","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","none","reduced","applied","none","none"
35,"Netherlands",2,"arable","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","none","none","applied","none","none"
35,"Netherlands",2,"arable","lapwing","productivity (nest level)","large","univariate",1,"none","none","none","none","reduced","applied","none","none"
35,"Netherlands",2,"arable","lapwing","productivity (nest level)","large","univariate",1,"none","none","none","none","none","applied","none","none"
35,"Netherlands",2,"arable","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","none","reduced","applied","none","none"
35,"Netherlands",2,"arable","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","none","none","applied","none","none"
35,"Netherlands",2,"arable","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","none","reduced","applied","none","none"
35,"Netherlands",2,"arable","lapwing","productivity (nest level)","large","univariate",0,"none","none","none","none","none","applied","none","none"
36,"Netherlands",5,"pastoral","black-tailed godwit","productivity (chick level)","medium","univariate",1,"none","none","none","none","none","none","none","none"
36,"Netherlands",5,"pastoral","black-tailed godwit","productivity (chick level)","large","univariate",0,"none","applied","none","none","none","none","none","none"
37,"Denmark",3,"mixed pastoral/unenclosed","black-tailed godwit","abundance","medium","multivariate",1,"none","none","none","none","reduced","none","none","none"
38,"United Kingdom",8,"pastoral","lapwing","productivity (nest level)","large","multivariate",1,"basic","none","none","none","none","applied","none","none"
38,"United Kingdom",8,"pastoral","lapwing","productivity (nest level)","large","multivariate",1,"basic","none","none","none","none","applied","none","none"
38,"United Kingdom",8,"pastoral","lapwing","productivity (nest level)","large","multivariate",0,"basic","none","none","none","none","applied","applied","none"
38,"United Kingdom",8,"pastoral","lapwing","productivity (nest + chick)","large","multivariate",1,"basic","none","none","none","none","applied","none","none"
39,"Netherlands",1,"unenclosed","redshank","productivity (nest level)","large","multivariate",1,"none","none","none","applied","none","none","none","none"
39,"Netherlands",1,"unenclosed","redshank","productivity (nest level)","large","multivariate",0,"none","none","none","applied","none","none","none","none"
39,"Netherlands",1,"unenclosed","oystercatcher","productivity (nest level)","large","multivariate",1,"none","none","none","applied","none","none","none","none"
39,"Netherlands",1,"unenclosed","oystercatcher","productivity (nest level)","large","multivariate",0,"none","none","none","applied","none","none","none","none"
40,"United Kingdom",12,"unenclosed","redshank","abundance","medium","multivariate",1,"none","none","none","applied","none","none","none","none"
40,"United Kingdom",12,"unenclosed","redshank","abundance","medium","multivariate",0,"none","none","none","applied","none","none","none","none"
40,"United Kingdom",12,"unenclosed","redshank","abundance change","medium","multivariate",0,"none","none","none","applied","none","none","none","none"
41,"United Kingdom",14,"mixed arable/pastoral","lapwing","abundance","medium","multivariate",1,"higher","none","none","none","none","none","none","none"
