"","reference","record","lit.type","score","country","region1","habitat","habitat1","habitat2","start.year","end.year","study.type","species","assemblage","AE","basic.AE","higher.AE","reserve","designation","mowing","grazing","fertilizer","pesticide","nest.protect.ag","nest.protect.predation","groundwater.drainage","surface.water","predator.control","other.mgmt","mgmt.notes","overall.metric","specific.metric","metric.before","metric.after","stan.metric","stan.calc","stan.metric.before","stan.metric.after","stan.effect.size","sig","effect.dir","analysis.unit","sample.size","analysis1","analysis2","analysis3","log.effect.size","percent.change.effect.size","values.from.plot","success","failure","outcome","fertpest","water","nest.protect","reserve.desig","AE.level","study.length","metric"
"11",1,11,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","none","none","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"occupancy"
"12",1,12,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","applied","none","none","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",4e-04,7e-04,"occurrence/occupancy probability","",4e-04,7e-04,"0.75","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.000599341","0.75","",1,0,1,"none","none","none","none","basic",9,"occupancy"
"13",1,13,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",4e-04,0.0016,"occurrence/occupancy probability","",4e-04,0.0016,"3","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.002395211","3","",1,0,1,"none","none","none","none","higher",9,"occupancy"
"14",1,14,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",3e-04,0.0018,"occurrence/occupancy probability","",3e-04,0.0018,"5","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.002993715","5","",1,0,1,"none","none","none","applied","none",9,"occupancy"
"15",1,15,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","none","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",3e-04,0.0021,"occurrence/occupancy probability","",3e-04,0.0021,"6","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.003591385","6","",1,0,1,"none","none","none","applied","none",9,"occupancy"
"16",1,16,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",2e-04,0.0021,"occurrence/occupancy probability","",2e-04,0.0021,"9.5","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.003791285","9.5","",1,0,1,"none","none","none","applied","basic",9,"occupancy"
"17",1,17,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",2e-04,0.0042,"occurrence/occupancy probability","",2e-04,0.0042,"20","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.007964996","20","",1,0,1,"none","none","none","applied","higher",9,"occupancy"
"18",1,18,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","applied","none","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"occupancy"
"19",1,19,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","none","applied","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"occupancy"
"20",1,20,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"occupancy"
"21",1,21,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","none","applied","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"occupancy"
"22",1,22,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","none","none","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"occupancy"
"23",1,23,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","applied","applied","none","none","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.026,0.024,"occurrence/occupancy probability","",0.026,0.024,"-0.08","Y","negative","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","-0.003809528","-0.08","",0,1,-1,"none","none","none","none","basic",9,"occupancy"
"24",1,24,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.026,0.053,"occurrence/occupancy probability","",0.026,0.053,"1.04","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.050056789","1.04","",1,0,1,"none","none","none","none","higher",9,"occupancy"
"25",1,25,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.01,0.098,"occurrence/occupancy probability","",0.01,0.098,"8.8","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.159180028","8.8","",1,0,1,"none","none","none","applied","none",9,"occupancy"
"26",1,26,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","none","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.017,0.059,"occurrence/occupancy probability","",0.017,0.059,"2.47","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.078106599","2.47","",1,0,1,"none","none","none","applied","none",9,"occupancy"
"27",1,27,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","applied","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.011,0.081,"occurrence/occupancy probability","",0.011,0.081,"6.36","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.128381167","6.36","",1,0,1,"none","none","none","applied","basic",9,"occupancy"
"28",1,28,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.011,0.212,"occurrence/occupancy probability","",0.011,0.212,"18.27","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.331708321","18.27","",1,0,1,"none","none","none","applied","higher",9,"occupancy"
"29",1,29,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","applied","applied","none","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.012,0.064,"occurrence/occupancy probability","",0.012,0.064,"4.33","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.096729626","4.33","",1,0,1,"none","none","none","applied","basic",9,"occupancy"
"30",1,30,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","applied","none","applied","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.012,0.067,"occurrence/occupancy probability","",0.012,0.067,"4.58","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.102034679","4.58","",1,0,1,"none","none","none","applied","higher",9,"occupancy"
"31",1,31,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","applied","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"occupancy"
"32",1,32,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","applied","none","applied","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"occupancy"
"33",1,33,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","redshank","Y","none","none","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.004,0.135,"occurrence/occupancy probability","",0.004,0.135,"32.75","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.231048731","32.75","",1,0,1,"none","none","none","applied","none",9,"occupancy"
"34",1,34,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","applied","applied","none","none","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.003,0.002,"occurrence/occupancy probability","",0.003,0.002,"-0.33","Y","negative","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","-0.00199005","-0.33","",0,1,-1,"none","none","none","none","basic",9,"occupancy"
"35",1,35,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.003,0.005,"occurrence/occupancy probability","",0.003,0.005,"0.67","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.003968259","0.67","",1,0,1,"none","none","none","none","higher",9,"occupancy"
"36",1,36,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.005,0.001,"occurrence/occupancy probability","",0.005,0.001,"-0.8","Y","negative","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","-0.007952328","-0.8","",0,1,-1,"none","none","none","applied","none",9,"occupancy"
"37",1,37,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","none","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"occupancy"
"38",1,38,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","applied","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.003,0.001,"occurrence/occupancy probability","",0.003,0.001,"-0.67","Y","negative","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","-0.003984069","-0.67","",0,1,-1,"none","none","none","applied","basic",9,"occupancy"
"39",1,39,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",0.003,0.003,"occurrence/occupancy probability","",0.003,0.003,"0","Y","none","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0","0","",0,0,0,"none","none","none","applied","higher",9,"occupancy"
"40",1,40,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","applied","applied","none","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"occupancy"
"41",1,41,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","applied","none","applied","none","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"occupancy"
"42",1,42,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","applied","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"occupancy"
"43",1,43,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","applied","none","applied","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"occupancy"
"44",1,44,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","curlew","Y","none","none","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","occupancy","presence/absence",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"occupancy"
"45",1,45,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","applied","applied","none","none","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","none","basic",9,"abundance"
"46",1,46,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","none","higher",9,"abundance"
"47",1,47,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"abundance"
"48",1,48,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","none","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"abundance"
"49",1,49,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","applied","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",0.25,0.3,"number of pairs/100ha","calculated by *100",25,30,"0.2","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.064538521","0.2","",1,0,1,"none","none","none","applied","basic",9,"abundance"
"50",1,50,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",0.25,0.31,"number of pairs/100ha","calculated by *100",25,31,"0.24","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.076961041","0.24","",1,0,1,"none","none","none","applied","higher",9,"abundance"
"51",1,51,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","applied","applied","none","none","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"abundance"
"52",1,52,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","applied","none","applied","none","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"abundance"
"53",1,53,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","applied","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"abundance"
"54",1,54,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","applied","none","applied","applied","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"abundance"
"55",1,55,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","lapwing","Y","none","none","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"abundance"
"56",1,56,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","applied","none","none","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",0.08,0.13,"number of pairs/100ha","calculated by *100",8,13,"0.63","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.082691716","0.63","",1,0,1,"none","none","none","none","basic",9,"abundance"
"57",1,57,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",0.08,0.18,"number of pairs/100ha","calculated by *100",8,18,"1.25","Y","positive","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","0.159064695","1.25","",1,0,1,"none","none","none","none","higher",9,"abundance"
"58",1,58,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"abundance"
"59",1,59,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","none","none","none","none","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","none",9,"abundance"
"60",1,60,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","applied","none","applied","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"abundance"
"61",1,61,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"abundance"
"62",1,62,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","applied","none","none","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"abundance"
"63",1,63,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","none","applied","none","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"abundance"
"64",1,64,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","applied","none","applied","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","basic",9,"abundance"
"65",1,65,"primary","good","United Kingdom","England","pastoral","natural/semi-natural grassland","lowland wet grassland",2002,2010,"correlative","snipe","Y","applied","none","applied","applied","applied","none","none","none","none","none","none","none","none","none","none","","abundance","breeding density",NA,NA,"","",NA,NA,"","N","","field/plot/site","large","frequentist","multivariate","stepwise regression GLMM","","","",0,0,0,"none","none","none","applied","higher",9,"abundance"
