reference	record	lit.type	score	country	region1	habitat	habitat1	habitat2	start.year	end.year	study.type	species	assemblage	AE	basic.AE	higher.AE	reserve	designation	mowing	grazing	fertilizer	pesticide	nest.protect.ag	nest.protect.predation	groundwater.drainage	surface.water	predator.control	other.mgmt	mgmt.notes	overall.metric	specific.metric	metric.before	metric.after	stan.metric	stan.calc	stan.metric.before	stan.metric.after	stan.effect.size	n.before	n.after	var.before	var.after	var.type	sig	effect.dir	analysis.unit	sample.size	analysis1	analysis2	analysis3	values.from.plot	fertpest	water	nest.protect	reserve.desig	AE.level	study.length	metric	success	failure	outcome
1	11	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	none	none	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.051	0.186			NA	NA				0.036-0.071	0.132-0.254	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	0	0	0
1	12	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	applied	none	none	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	4e-04	7e-04	occurrence/occupancy probability		4e-04	7e-04	0.75			0.0002-0.0009	0.0003-0.0016	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	basic	9	occupancy	1	0	1
1	13	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	4e-04	0.0016	occurrence/occupancy probability		4e-04	0.0016	3.00			0.0002-0.0009	0.0007-0.0037	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	higher	9	occupancy	1	0	1
1	14	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	none	none	none	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	3e-04	0.0018	occurrence/occupancy probability		3e-04	0.0018	5.00			0.0001-0.0007	0.0008-0.0042	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	1	0	1
1	15	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	none	none	none	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	3e-04	0.0021	occurrence/occupancy probability		3e-04	0.0021	6.00			0.0001-0.0007	0.0009-0.0048	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	1	0	1
1	16	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	2e-04	0.0021	occurrence/occupancy probability		2e-04	0.0021	9.50			0.0001-0.0006	0.0009-0.0048	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	1	0	1
1	17	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	2e-04	0.0042	occurrence/occupancy probability		2e-04	0.0042	20.00			0.0001-0.0006	0.0018-0.0096	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	1	0	1
1	18	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	applied	none	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	3e-04	0.002			NA	NA				0.0001-0.0008	0.0008-0.0047	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	0	0	0
1	19	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	none	applied	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	3e-04	0.0044			NA	NA				0.0001-0.0008	0.0019-0.0101	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	0	0	0
1	20	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	0	0	0
1	21	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	none	applied	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	0	0	0
1	22	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	none	none	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	1e-04	0.0049			NA	NA				0.0000-0.0002	0.0021-0.0114	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	0	0	0
1	23	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	applied	applied	none	none	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.026	0.024	occurrence/occupancy probability		0.026	0.024	-0.08			0.015-0.055	0.014-0.039	0.95CI	Y	negative	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	basic	9	occupancy	0	1	-1
1	24	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.026	0.053	occurrence/occupancy probability		0.026	0.053	1.04			0.015-0.055	0.035-0.081	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	higher	9	occupancy	1	0	1
1	25	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	none	none	none	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.01	0.098	occurrence/occupancy probability		0.01	0.098	8.80			0.006-0.015	0.059-0.158	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	1	0	1
1	26	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	none	none	none	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.017	0.059	occurrence/occupancy probability		0.017	0.059	2.47			0.01-0.029	0.038-0.091	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	1	0	1
1	27	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	applied	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.011	0.081	occurrence/occupancy probability		0.011	0.081	6.36			0.007-0.019	0.047-0.137	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	1	0	1
1	28	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.011	0.212	occurrence/occupancy probability		0.011	0.212	18.27			0.007-0.019	0.136-0.314	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	1	0	1
1	29	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	applied	applied	none	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.012	0.064	occurrence/occupancy probability		0.012	0.064	4.33			0.006-0.022	0.039-0.102	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	1	0	1
1	30	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	applied	none	applied	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.012	0.067	occurrence/occupancy probability		0.012	0.067	4.58			0.006-0.022	0.043-0.103	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	1	0	1
1	31	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	applied	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	0	0	0
1	32	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	applied	none	applied	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	0	0	0
1	33	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	redshank	Y	none	none	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.004	0.135	occurrence/occupancy probability		0.004	0.135	32.75			0.002-0.007	0.087-0.205	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	1	0	1
1	34	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	applied	applied	none	none	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.003	0.002	occurrence/occupancy probability		0.003	0.002	-0.33			0.002-0.005	0.001-0.004	0.95CI	Y	negative	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	basic	9	occupancy	0	1	-1
1	35	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.003	0.005	occurrence/occupancy probability		0.003	0.005	0.67			0.002-0.005	0.003-0.007	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	higher	9	occupancy	1	0	1
1	36	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	none	none	none	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.005	0.001	occurrence/occupancy probability		0.005	0.001	-0.80			0.003-0.008	0.002-0.003	0.95CI	Y	negative	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	0	1	-1
1	37	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	none	none	none	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.003	0.003			NA	NA				0.001-0.005	0.002-0.005	0.95CI	N	none	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	0	0	0
1	38	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	applied	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.003	0.001	occurrence/occupancy probability		0.003	0.001	-0.67			0.002-0.006	0-0.002	0.95CI	Y	negative	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	0	1	-1
1	39	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.003	0.003	occurrence/occupancy probability		0.003	0.003	0.00			0.002-0.006	0.001-0.005	0.95CI	N	none	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	0	0	0
1	40	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	applied	applied	none	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.003	0.002			NA	NA				0.001-0.003	0.001-0.005	0.95CI	N	negative	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	0	0	0
1	41	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	applied	none	applied	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.003	0.004			NA	NA				0.001-0.003	0.003-0.008	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	0	0	0
1	42	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	applied	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	occupancy	0	0	0
1	43	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	applied	none	applied	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	occupancy	0	0	0
1	44	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	curlew	Y	none	none	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.005	0.001			NA	NA				0.003-0.008	0.001-0.003	0.95CI	N	negative	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	occupancy	0	0	0
1	45	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	applied	none	none	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.22	0.26			NA	NA				0.18-0.26	0.22-0.31	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	basic	9	abundance	0	0	0
1	46	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.22	0.26			NA	NA				0.18-0.26	0.23-0.30	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	higher	9	abundance	0	0	0
1	47	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	none	none	none	applied	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.24	0.25			NA	NA				0.21-0.28	0.21-0.3	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	abundance	0	0	0
1	48	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	none	none	none	none	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.24	0.25			NA	NA				0.2-0.29	0.22-0.29	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	abundance	0	0	0
1	49	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.25	0.3	number of pairs/100ha	calculated by *100	25	30	0.20			0.21-0.3	0.24-0.36	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	abundance	1	0	1
1	50	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.25	0.31	number of pairs/100ha	calculated by *100	25	31	0.24			0.21-0.3	0.26-0.36	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	abundance	1	0	1
1	51	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	applied	none	none	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.2	0.26			NA	NA				0.15-0.25	0.21-0.32	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	abundance	0	0	0
1	52	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	none	applied	none	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.2	0.25			NA	NA				0.15-0.25	0.21-0.29	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	abundance	0	0	0
1	53	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	abundance	0	0	0
1	54	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	none	applied	applied	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	abundance	0	0	0
1	55	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	none	none	none	applied	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.25	0.27			NA	NA				0.21-0.29	0.22-0.32	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	abundance	0	0	0
1	56	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	applied	none	none	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.08	0.13	number of pairs/100ha	calculated by *100	8	13	0.63			0.06-0.12	0.08-0.21	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	basic	9	abundance	1	0	1
1	57	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.08	0.18	number of pairs/100ha	calculated by *100	8	18	1.25			0.06-0.12	0.13-0.24	0.95CI	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	none	higher	9	abundance	1	0	1
1	58	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	none	none	none	applied	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.19	0.11			NA	NA				0.11-0.31	0.07-0.17	0.95CI	N	negative	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	abundance	0	0	0
1	59	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	none	none	none	none	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.17	0.12			NA	NA				0.09-0.31	0.09-0.17	0.95CI	N	negative	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	none	9	abundance	0	0	0
1	60	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.11	0.19			NA	NA				0.07-0.2	0.13-0.29	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	abundance	0	0	0
1	61	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.11	0.15			NA	NA				0.07-0.2	0.1-0.22	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	abundance	0	0	0
1	62	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	applied	none	none	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.1	0.14			NA	NA				0.05-0.23	0.08-0.24	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	abundance	0	0	0
1	63	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	none	applied	none	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	0.1	0.17			NA	NA				0.05-0.23	0.12-0.23	0.95CI	N	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	abundance	0	0	0
1	64	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	basic	9	abundance	0	0	0
1	65	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	snipe	Y	applied	none	applied	applied	applied	none	none	none	none	none	none	none	none	none	none		abundance	breeding density	NA	NA			NA	NA							N	no data	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		none	none	none	applied	higher	9	abundance	0	0	0
